,Gender,Institution Type,IT Student,Location,Load-shedding,Internet Type,Self Lms,Age_11-15,Age_16-20,Age_26-30,Age_6-10,Education Level_University,Financial Condition_Poor,Financial Condition_Rich,Network Type_4G,Class Duration_1-3,Class Duration_3-6,Device_Mobile,Device_Tab,Adaptivity Level
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,2
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2
2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2
3,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
4,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
5,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
6,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
7,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2
8,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
9,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
10,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1
11,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
12,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
13,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
14,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2
15,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1
16,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
17,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1
18,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
19,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2
20,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0
21,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
22,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
23,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
24,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2
25,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
26,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
27,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,2
28,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
29,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2
30,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
31,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
32,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2
33,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2
34,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
35,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,2
36,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
37,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
38,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1
39,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
40,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,2
41,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2
42,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
43,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
44,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
45,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2
46,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2
47,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
48,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
49,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
50,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
51,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
52,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2
53,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,2
54,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
55,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
56,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
57,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
58,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
59,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
60,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,2
61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
62,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2
63,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
64,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1
65,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
66,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
67,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
68,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1
69,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
70,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
71,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
72,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
73,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
74,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
75,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
76,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2
77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
78,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2
79,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
80,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
81,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2
82,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2
83,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
84,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2
85,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
86,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
87,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2
88,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2
89,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1
90,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2
91,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,2
92,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2
93,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
94,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2
95,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,2
96,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
97,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
98,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2
99,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
100,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
101,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2
102,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
103,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
104,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,2
105,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2
106,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
107,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2
108,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,2
109,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
110,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
111,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
112,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
113,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,2
114,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2
115,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,2
116,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
117,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1
118,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2
119,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2
120,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2
121,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
122,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
123,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
124,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,2
125,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
126,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
127,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2
128,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1
129,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
130,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,2
131,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
132,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
133,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1
134,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2
135,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1
136,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
137,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2
138,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2
139,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
140,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
141,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2
142,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
143,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2
144,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
145,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2
146,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2
147,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
148,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1
149,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
150,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2
151,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
152,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
153,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,2
154,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1
155,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
156,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
157,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0
158,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
159,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
160,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1
161,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
162,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,2
163,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
164,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
165,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
166,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
167,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
168,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
169,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1
170,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2
171,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1
172,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
173,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
174,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
175,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1
176,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,2
177,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1
178,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
179,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
180,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2
181,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
182,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2
183,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,2
184,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
185,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
186,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
187,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
188,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
189,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,2
190,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1
191,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2
192,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2
193,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
194,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
195,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1
196,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1
197,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,2
198,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
199,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
200,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
201,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
202,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
203,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2
204,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
205,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
206,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,2
207,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
208,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1
209,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1
210,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
211,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
212,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
213,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2
214,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
215,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2
216,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
217,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
218,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1
219,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
220,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2
221,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2
222,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
223,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
224,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
225,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
226,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2
227,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
228,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
229,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2
230,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,2
231,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2
232,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
233,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
234,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,2
235,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,2
236,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2
237,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
238,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2
239,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1
240,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
241,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
242,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,2
243,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2
244,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
245,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,2
246,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2
247,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
248,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2
249,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2
250,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2
251,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
252,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
253,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
254,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,2
255,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
256,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2
257,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2
258,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
259,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
260,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
261,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
262,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2
263,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
264,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
265,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,2
266,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2
267,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1
268,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2
269,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0
270,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
271,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,2
272,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
273,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2
274,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
275,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
276,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
277,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
278,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1
279,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
280,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1
281,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
282,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1
283,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
284,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2
285,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
286,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2
287,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
288,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
289,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,2
290,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
291,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2
292,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
293,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2
294,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1
295,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,2
296,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
297,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2
298,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2
